gpu_count,depth,hidden_dim,batch_size,forward_time_s,backward_time_s,total_step_time_s,throughput_samples_per_s,max_memory_gb,loss
1,8,128,8,0.0005021095275878906,0.001603841781616211,0.0021059513092041016,3798.758292765765,0.018846988677978516,2.282550096511841
1,8,128,32,0.004233837127685547,-0.002396106719970703,0.0018377304077148438,17412.782563570316,0.01987743377685547,2.2985758781433105
1,8,256,8,0.0003674030303955078,0.00147247314453125,0.0018398761749267578,4348.118698976286,0.026114940643310547,2.303863286972046
1,8,256,32,0.0003974437713623047,0.0015201568603515625,0.0019176006317138672,16687.520576899165,0.028827190399169922,2.295194387435913
1,16,128,8,0.0006356239318847656,0.0022726058959960938,0.0029082298278808594,2750.8142318412856,0.024521350860595703,2.3294239044189453
1,16,128,32,0.0006783008575439453,0.002236604690551758,0.002914905548095703,10978.057255030264,0.02283000946044922,2.3099918365478516
1,16,256,8,0.0006501674652099609,0.0022766590118408203,0.0029268264770507812,2733.3359400456175,0.03690290451049805,2.2580971717834473
1,16,256,32,0.0007069110870361328,0.0023195743560791016,0.0030264854431152344,10573.320308807311,0.04255247116088867,2.2926127910614014
1,32,128,8,0.0012004375457763672,0.003979206085205078,0.005179643630981445,1544.5078020713463,0.03336381912231445,2.259798765182495
1,32,128,32,0.0012803077697753906,0.0039825439453125,0.005262851715087891,6080.353719307783,0.029701709747314453,2.299614191055298
1,32,256,8,0.0012423992156982422,0.0040493011474609375,0.00529170036315918,1511.801396710971,0.05847883224487305,2.2839629650115967
1,32,256,32,0.001332998275756836,0.004178285598754883,0.005511283874511719,5806.269596816058,0.07000303268432617,2.3035614490509033
