gpu_count,depth,hidden_dim,batch_size,chunks,INPUT_DIM,NUM_CLASSES,forward_time_s,backward_time_s,total_step_time_s,throughput_samples_per_s,max_memory_gb,loss
1,8,128,8,1,1024,10,0.0004038810729980469,0.0008175373077392578,0.001241445541381836,6444.100633762243,0.017767906188964844,2.323843479156494
1,8,128,8,2,1024,10,0.0003943443298339844,0.0008203983306884766,0.00122833251953125,6512.894409937888,0.017767906188964844,2.2826390266418457
1,8,128,8,4,1024,10,0.00038695335388183594,0.0008018016815185547,0.0012013912200927734,6658.946616392142,0.017767906188964844,2.3309619426727295
1,8,128,8,8,1024,10,0.000396728515625,0.0008091926574707031,0.0012187957763671875,6563.856025039124,0.017767906188964844,2.2726082801818848
1,8,128,8,16,1024,10,0.0003821849822998047,0.0008101463317871094,0.0012052059173583984,6637.869831849654,0.017767906188964844,2.2872376441955566
1,8,128,32,1,1024,10,0.0004019737243652344,0.0008249282836914062,0.0012395381927490234,25816.066166570494,0.01794147491455078,2.2977263927459717
1,8,128,32,2,1024,10,0.0003848075866699219,0.00083160400390625,0.0012295246124267578,26026.31917781656,0.01794147491455078,2.2955641746520996
1,8,128,32,4,1024,10,0.00039315223693847656,0.0008263587951660156,0.0012316703796386719,25980.977158343012,0.01794147491455078,2.2981605529785156
1,8,128,32,8,1024,10,0.00039076805114746094,0.0008220672607421875,0.0012254714965820312,26112.39844357977,0.01794147491455078,2.301591396331787
1,8,128,32,16,1024,10,0.0003952980041503906,0.0008270740509033203,0.0012350082397460938,25910.7583011583,0.01794147491455078,2.301372528076172
1,8,128,64,1,1024,10,0.0004057884216308594,0.0008206367492675781,0.0012395381927490234,51632.13233314099,0.018172264099121094,2.3086628913879395
1,8,128,64,2,1024,10,0.0004036426544189453,0.0008313655853271484,0.0012481212615966797,51277.06895893028,0.018172264099121094,2.305718421936035
1,8,128,64,4,1024,10,0.0004069805145263672,0.0008141994476318359,0.0012340545654296875,51861.564142194744,0.018172264099121094,2.3118529319763184
1,8,128,64,8,1024,10,0.0003979206085205078,0.0008065700531005859,0.0012257099151611328,52214.638397198985,0.018172264099121094,2.3073456287384033
1,8,128,64,16,1024,10,0.00038909912109375,0.0008227825164794922,0.0012254714965820312,52224.79688715954,0.018172264099121094,2.2946205139160156
1,8,128,128,1,1024,10,0.0003948211669921875,0.0008094310760498047,0.0012173652648925781,105145.10614962789,0.018635272979736328,2.303971529006958
1,8,128,128,2,1024,10,0.0003943443298339844,0.0008153915405273438,0.001222372055053711,104714.43573239712,0.018635272979736328,2.3091604709625244
