gpu_count,depth,hidden_dim,batch_size,chunks,INPUT_DIM,NUM_CLASSES,forward_time_s,backward_time_s,total_step_time_s,throughput_samples_per_s,max_memory_gb,loss
2,8,2048,256,1,1024,10,0.0025103092193603516,0.002681255340576172,0.005328655242919922,48042.139776286356,0.21925115585327148,2.3021140098571777
2,8,2048,256,2,1024,10,0.002356290817260742,0.0036640167236328125,0.006166696548461914,41513.31235260004,0.1879558563232422,2.302823305130005
2,8,2048,256,4,1024,10,0.004426717758178711,0.0053255558013916016,0.009904861450195312,25845.894088195648,0.1527843475341797,2.3036932945251465
2,8,2048,256,8,1024,10,0.010416507720947266,0.010533809661865234,0.021103620529174805,12130.619940123142,0.1513195037841797,2.302081823348999
2,8,2048,256,16,1024,10,0.016274690628051758,0.019840002059936523,0.03627324104309082,7057.544146548268,0.1505870819091797,2.302910089492798
2,8,2048,512,1,1024,10,0.003050565719604492,0.0045049190521240234,0.007699251174926758,66499.97361657325,0.15180206298828125,2.3021512031555176
2,8,2048,512,2,1024,10,0.003072500228881836,0.005029916763305664,0.008249044418334961,62067.7952541981,0.1625518798828125,2.301842451095581
2,8,2048,512,4,1024,10,0.0044727325439453125,0.006269216537475586,0.010894298553466797,46997.05974526196,0.1566925048828125,2.302426338195801
2,8,2048,512,8,1024,10,0.008189678192138672,0.010274171829223633,0.01860666275024414,27517.024781527896,0.1537628173828125,2.3030507564544678
2,8,2048,512,16,1024,10,0.01606464385986328,0.02019977569580078,0.036412715911865234,14061.022013278682,0.1522979736328125,2.303449869155884
2,8,4096,256,1,1024,10,0.005417346954345703,0.00839376449584961,0.013957023620605469,18342.01954219337,0.44775962829589844,2.30291748046875
2,8,4096,256,2,1024,10,0.0054552555084228516,0.009406805038452148,0.015004158020019531,17061.93707493803,0.5053920745849609,2.302637815475464
2,8,4096,256,4,1024,10,0.004850149154663086,0.01119852066040039,0.016193389892578125,15808.919670200235,0.49953269958496094,2.3020477294921875
2,8,4096,256,8,1024,10,0.008294343948364258,0.013876914978027344,0.022316455841064453,11471.355569325442,0.49660301208496094,2.3029539585113525
2,8,4096,256,16,1024,10,0.016986370086669922,0.031191349029541016,0.04838967323303223,5290.384970511576,0.49513816833496094,2.3023478984832764
2,8,4096,512,1,1024,10,0.007741451263427734,0.012737274169921875,0.020691871643066406,24744.01585472646,0.46436309814453125,2.30234956741333
2,8,4096,512,2,1024,10,0.008231878280639648,0.015380620956420898,0.02380084991455078,21511.836839363707,0.5180892944335938,2.302598714828491
2,8,4096,512,4,1024,10,0.008415699005126953,0.017327547073364258,0.025898218154907227,19769.699866513234,0.5063705444335938,2.3025903701782227
2,8,4096,512,8,1024,10,0.008754730224609375,0.020328760147094727,0.02922797203063965,17517.465784600827,0.5005111694335938,2.3028461933135986
2,8,4096,512,16,1024,10,0.015853404998779297,0.024541139602661133,0.040541648864746094,12628.98807367505,0.49758148193359375,2.302670478820801
2,16,2048,256,1,1024,10,0.003455638885498047,0.004622697830200195,0.008234262466430664,31089.608941135593,0.27588462829589844,2.3042116165161133
2,16,2048,256,2,1024,10,0.003488779067993164,0.006349086761474609,0.01000833511352539,25578.67987993711,0.2846813201904297,2.3021047115325928
2,16,2048,256,4,1024,10,0.0052967071533203125,0.008317947387695312,0.01377415657043457,18585.529988056704,0.2797985076904297,2.3029465675354004
2,16,2048,256,8,1024,10,0.009979009628295898,0.015111207962036133,0.025249958038330078,10138.630710252488,0.2773571014404297,2.301881790161133
2,16,2048,256,16,1024,10,0.019124984741210938,0.02966761589050293,0.04896068572998047,5228.684937377043,0.2761363983154297,2.3020660877227783
2,16,2048,512,1,1024,10,0.005179405212402344,0.0083160400390625,0.013653278350830078,37500.15101456361,0.29248809814453125,2.301661252975464
2,16,2048,512,2,1024,10,0.005628108978271484,0.010059595108032227,0.015854835510253906,32292.987187969924,0.2954254150390625,2.3010687828063965
2,16,2048,512,4,1024,10,0.005852937698364258,0.01177358627319336,0.0177915096282959,28777.77157176742,0.2856597900390625,2.302647829055786
2,16,2048,512,8,1024,10,0.009883642196655273,0.015261650085449219,0.02531123161315918,20228.17410962388,0.2807769775390625,2.3026254177093506
2,16,2048,512,16,1024,10,0.01929640769958496,0.030075550079345703,0.0495603084564209,10330.847727677261,0.2783355712890625,2.3032915592193604
2,16,4096,256,1,1024,10,0.011662960052490234,0.018962621688842773,0.030783653259277344,8316.101985811209,0.9635066986083984,2.302272319793701
2,16,4096,256,2,1024,10,0.011733293533325195,0.021190404891967773,0.033141374588012695,7724.483464623575,1.013326644897461,2.3029518127441406
2,16,4096,256,4,1024,10,0.010208845138549805,0.023915767669677734,0.0342867374420166,7466.443852610059,1.003561019897461,2.302333116531372
2,16,4096,256,8,1024,10,0.010501861572265625,0.030583620071411133,0.04124927520751953,6206.169652972048,0.9986782073974609,2.3025741577148438
2,16,4096,256,16,1024,10,0.021111249923706055,0.0566861629486084,0.07803559303283691,3280.554296451322,0.9962368011474609,2.3014488220214844
2,16,4096,512,1,1024,10,0.02056717872619629,0.03333115577697754,0.054137468338012695,9457.405669642267,0.9957351684570312,2.302048921585083
2,16,4096,512,2,1024,10,0.01709604263305664,0.034960269927978516,0.0522611141204834,9796.959146711435,1.0338363647460938,2.302518129348755
2,16,4096,512,4,1024,10,0.01614999771118164,0.03309798240661621,0.04948115348815918,10347.37397790295,1.0143051147460938,2.301612615585327
2,16,4096,512,8,1024,10,0.017653942108154297,0.04549074172973633,0.0633854866027832,8077.558877295398,1.0045394897460938,2.302436590194702
