gpu_count,step,depth,hidden_dim,batch_size,chunks,forward_time_s,backward_time_s,total_step_time_s,throughput_samples_per_s,phase
4,0,128,4096,512,16,0.19426829814910887,0.3607839822769165,0.5550522804260254,922.435630040145,adapt
4,1,128,4096,512,16,0.19430559873580933,0.36085325479507446,0.5551588535308838,922.2585513022304,adapt
4,2,128,4096,512,16,0.19431385993957517,0.36086859703063967,0.5551824569702148,922.2193417171834,adapt
4,3,128,4096,512,16,0.19427697658538817,0.3608000993728638,0.555077075958252,922.3944244429726,adapt
4,4,128,4096,512,16,0.1942058801651001,0.3606680631637573,0.5548739433288574,922.732101868681,adapt
4,5,128,4096,512,16,0.19443360567092893,0.36109098196029665,0.5555245876312256,921.6513749340676,adapt
4,6,128,4096,512,16,0.19442501068115234,0.3610750198364258,0.5555000305175781,921.6921185817979,adapt
4,7,128,4096,512,16,0.19435232877731323,0.36094003915786743,0.5552923679351807,922.0368036100324,adapt
4,8,128,4096,512,16,0.19438904523849487,0.3610082268714905,0.5553972721099854,921.8626480733031,adapt
4,9,128,4096,512,16,0.19437869787216186,0.3609890103340149,0.5553677082061768,921.9117216118789,adapt
4,10,128,4096,512,16,0.1943864583969116,0.3610034227371216,0.5553898811340332,921.8749159681541,adapt
4,11,128,4096,512,16,0.19425761699676514,0.36076414585113525,0.5550217628479004,922.4863496754627,adapt
4,12,128,4096,512,16,0.19443060159683226,0.36108540296554564,0.5555160045623779,921.6656150228133,adapt
4,13,128,4096,512,16,0.19426863193511962,0.3607846021652222,0.5550532341003418,922.4340451414095,adapt
4,14,128,4096,512,16,0.19423650503158568,0.360724937915802,0.5549614429473877,922.5866166139031,adapt
4,15,128,4096,512,16,0.194289493560791,0.3608233451843262,0.5551128387451172,922.3349997766622,steady
4,16,128,4096,512,16,0.19424334764480589,0.36073764562606814,0.554980993270874,922.5541166418001,steady
4,17,128,4096,512,16,0.19425494670867918,0.36075918674468993,0.5550141334533691,922.4990304558017,steady
4,18,128,4096,512,16,0.19428173303604124,0.3608089327812195,0.5550906658172607,922.3718421677686,steady
4,19,128,4096,512,16,0.19423792362213133,0.3607275724411011,0.5549654960632324,922.579878626658,steady
