gpu_count,depth,hidden_dim,batch_size,chunks,forward_time_s,backward_time_s,total_step_time_s,throughput_samples_per_s,max_memory_gb,loss
4,8,128,8,1,0.002471446990966797,0.0017647743225097656,0.00439143180847168,1821.7293012649982,0.024911880493164062,2.3100647926330566
4,8,128,8,2,0.004334449768066406,0.0039136409759521484,0.008408069610595703,951.4669086372143,0.02503681182861328,2.333876609802246
4,8,128,8,4,0.007995843887329102,0.007294893264770508,0.015454769134521484,517.6395668137361,0.025033950805664062,2.2961983680725098
4,8,128,32,1,0.0024945735931396484,0.0018372535705566406,0.0044896602630615234,7127.488078168976,0.02507305145263672,2.2871620655059814
4,8,128,32,2,0.00452113151550293,0.003919839859008789,0.008634328842163086,3706.1363523401906,0.02506542205810547,2.3066153526306152
4,8,128,32,4,0.008195638656616211,0.007611989974975586,0.015964031219482422,2004.5062277845814,0.025053977966308594,2.3120343685150146
4,8,256,8,1,0.008087873458862305,0.0018801689147949219,0.010135173797607422,789.3303222771112,0.025536537170410156,2.3001720905303955
4,8,256,8,2,0.004476785659790039,0.003885507583618164,0.0085296630859375,937.9033989266547,0.02553272247314453,2.2897167205810547
4,8,256,8,4,0.008257389068603516,0.007414579391479492,0.015829801559448242,505.3758867384592,0.025527000427246094,2.2958359718322754
4,8,256,32,1,0.002458333969116211,0.001833200454711914,0.004455089569091797,7182.7961040351065,0.02559375762939453,2.3203628063201904
4,8,256,32,2,0.004633903503417969,0.00398564338684082,0.008777141571044922,3645.8338675503883,0.02557849884033203,2.3009159564971924
4,8,256,32,4,0.008054971694946289,0.007639884948730469,0.01587057113647461,2016.3105489288826,0.02555561065673828,2.284916639328003
4,16,128,8,1,0.0027823448181152344,0.0024204254150390625,0.00537562370300293,1488.1994056859005,0.025292396545410156,2.2620720863342285
4,16,128,8,2,0.0048258304595947266,0.005101442337036133,0.01011037826538086,791.2661415837382,0.02528667449951172,2.2947089672088623
4,16,128,8,4,0.009039163589477539,0.009305477142333984,0.018523454666137695,431.8848802337405,0.025281906127929688,2.266848087310791
4,16,128,32,1,0.0028977394104003906,0.0024352073669433594,0.005499362945556641,5818.855805081072,0.02534961700439453,2.301100730895996
4,16,128,32,2,0.004803895950317383,0.005148887634277344,0.010132789611816406,3158.0641882352943,0.02532672882080078,2.3077945709228516
4,16,128,32,4,0.008925914764404297,0.009302854537963867,0.01840353012084961,1738.7968389687783,0.025307655334472656,2.2909395694732666
4,16,256,8,1,0.002789735794067383,0.0025184154510498047,0.00548553466796875,1458.3810848400556,0.02653217315673828,2.291649341583252
4,16,256,8,2,0.0047647953033447266,0.0052640438079833984,0.010200738906860352,784.2569124693233,0.026520729064941406,2.2876741886138916
4,16,256,8,4,0.009002208709716797,0.009500503540039062,0.01871323585510254,427.5048987756246,0.026511192321777344,2.2922897338867188
4,16,256,32,1,0.0028638839721679688,0.0024940967559814453,0.005530357360839844,5786.244524918089,0.026635169982910156,2.2902638912200928
4,16,256,32,2,0.004811525344848633,0.005074501037597656,0.010058403015136719,3181.4195505831044,0.026589393615722656,2.2922210693359375
4,16,256,32,4,0.009054899215698242,0.00944828987121582,0.01867389678955078,1713.6219804912926,0.026551246643066406,2.3019211292266846
4,32,128,8,1,0.0036792755126953125,0.0036644935607910156,0.007539272308349609,1061.1103662007463,0.02579975128173828,2.299717664718628
4,32,128,8,2,0.005832672119140625,0.007554531097412109,0.013594865798950195,588.4574455025341,0.025786399841308594,2.3035011291503906
4,32,128,8,4,0.010887384414672852,0.013220548629760742,0.024352312088012695,328.51090159681223,0.025777816772460938,2.2968218326568604
4,32,128,32,1,0.0036509037017822266,0.0035784244537353516,0.007427692413330078,4308.202092829171,0.025902748107910156,2.294370174407959
4,32,128,32,2,0.0058057308197021484,0.0075244903564453125,0.013533592224121094,2364.486787400465,0.025849342346191406,2.3094663619995117
4,32,128,32,4,0.010786056518554688,0.014164924621582031,0.025152206420898438,1272.2541897323122,0.02581501007080078,2.2978923320770264
4,32,256,8,1,0.0034275054931640625,0.0037698745727539062,0.007400035858154297,1081.075842515626,0.02852344512939453,2.2585272789001465
4,32,256,8,2,0.0057010650634765625,0.0076751708984375,0.01357722282409668,589.2221188122289,0.028496742248535156,2.2954115867614746
4,32,256,8,4,0.010823965072631836,0.01290583610534668,0.023929595947265625,334.31404431691374,0.028479576110839844,2.303671360015869
4,32,256,32,1,0.0036606788635253906,0.0038793087005615234,0.00774073600769043,4133.973819570641,0.028717994689941406,2.3007566928863525
4,32,256,32,2,0.005750179290771484,0.007812023162841797,0.013764381408691406,2324.841127970623,0.028611183166503906,2.2887091636657715
4,32,256,32,4,0.010712385177612305,0.013208627700805664,0.024133682250976562,1325.947680392002,0.028542518615722656,2.305065155029297
